plate,germinated,apical_hairs,ungerminated,dead,notes
NP_02_30_03,12,0,8,30,
NP_02_30_04,9,0,14,37,
NP_02_30_06,11,0,8,31,
NP_02_30_02,14,0,10,26,
NP_02_15_03,4,0,1,45,
NP_02_15_06,2,0,1,47,
NP_02_15_02,3,0,7,40,
NP_02_15_05,0,0,4,46,
NP_02_15_04,0,0,2,48,
NP_02_15_01,0,0,4,46,
NP_02_05_01,0,0,0,50,
NP_02_05_02,0,0,0,50,
NP_02_05_03,0,0,0,50,
NP_02_05_04,0,0,0,50,
NP_02_05_05,0,0,0,50,
NP_02_05_06,0,0,0,50,
